sample_name	index	round	extraction_kit	extraction_kit_round	extraction_kit_id	extraction_vendor	bead_beating	incubation	biomass_plate	biomass_sample	storage_solution	swab_type	sample_number	sample_technical_replicate	sample_type	sample_type_1	sample_type_2	sample_type_3	unique_sample_id	collection_timestamp	description	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fresh_frozen	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	sex	latitude	longitude	physical_specimen_location	physical_specimen_remaining	dna_extracted	gdna_well_id	dna_conc_ng_ul	qc_16s_concentration	qc_230	qc_260	qc_260_230	qc_260_280	qc_280	qc_blank_230	qc_blank_260	qc_blank_280	qc_blank_320	qc_raw_230	qc_raw_260	qc_raw_280	qc_raw_320	qiita_study_id	scientific_name	taxon_id	title
12201.be.f.A.1.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.1	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	F6	-1.168	50.6	-0.002	-0.001	0.474	0.3	-0.004	0.053	0.044	0.042	0.04	0.062	0.055	0.051	0.053	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.A.2.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.2	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	G6	3.056	13.92	0.001	0.003	4.6	2.3	0.001	0.053	0.044	0.042	0.04	0.054	0.048	0.045	0.042	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.A.3.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	1	not applicable	built environment	not applicable	floor	floor_site_1	built_environment.floor.A.3	1/16/19	1'x1' floor tile in bay 'D' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.A	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	H6	4.082	16.31	0.004	0.004	1.069	1.722	0.002	0.053	0.044	0.042	0.04	0.059	0.051	0.048	0.044	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.1.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.1	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	A7	-0.127	28.58	0.002	0	-0.077	0.167	-0.001	0.053	0.044	0.042	0.04	0.057	0.047	0.045	0.044	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.2.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.2	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	B7	3.97	30.57	0.002	0.004	2.385	1.722	0.002	0.053	0.044	0.042	0.04	0.053	0.047	0.044	0.04	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.f.B.3.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	2	not applicable	built environment	not applicable	floor	floor_site_2	built_environment.floor.B.3	1/16/19	1'x1' floor tile in bay 'E' of the Knight wet lab swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	dust	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built floor.B	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	C7	2.951	26.1	0.002	0.003	1.769	1.278	0.002	0.053	0.044	0.042	0.04	0.054	0.047	0.045	0.041	12201	dust metagenome	1236744	Knight sample set for testing
12201.be.k.A.1.1.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.1	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	D7	2.952	29.43	0.004	0.003	0.793	2.3	0.001	0.053	0.044	0.042	0.04	0.057	0.048	0.045	0.042	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.1.2.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.2	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	E7	1.937	30.24	0.004	0.002	0.517	1.5	0.001	0.053	0.044	0.042	0.04	0.056	0.046	0.044	0.041	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.1.3.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	3	not applicable	built environment	not applicable	keyboard	keyboard_A1	built_environment.keyboard.A_1.3	1/16/19	Subject A's MacBook Pro keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.1	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	F7	3.002	38.15	0.003	0.003	1.095	1.278	0.002	0.053	0.044	0.042	0.04	0.055	0.047	0.045	0.041	12201	indoor metagenome	1256227	Knight sample set for testing
12201.be.k.A.2.1.homebrew.L	not applicable	1	Homebrew	Homebrew	homebrew	Homebrew	not applicable	not applicable	low	low	not applicable	not applicable	4	not applicable	built environment	not applicable	keyboard	keyboard_A2	built_environment.keyboard.A_2.1	1/16/19	Subject A's external keyboard swabbed for 15 s	193	Free-living	Non-saline	Surface (non-saline)	urban biome	building	anthropogenic environmental material	built environment	not applicable	USA:CA:San Diego	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	built keyboard.A.2	not applicable	not applicable	not applicable	not applicable	32.5	-117.25	UCSDMI	TRUE	TRUE	G7	6.216	9.09	0.012	0.006	0.505	1.808	0.003	0.053	0.044	0.042	0.04	0.069	0.055	0.051	0.046	12201	indoor metagenome	1256227	Knight sample set for testing
