sample_name	16s_deblur_reads
12201.mc.d1.3.norgen.L	108966.0
12201.s.lf.A.1.norgen.L	65241.0
12201.mc.d1.2.norgen.L	65019.0
12201.s.la.C.2.norgen.L	58160.0
12201.mc.d1.1.norgen.L	58096.0
12201.s.lf.A.1.pro.L	57779.0
12201.mc.d1.3.magmax.L	56261.0
12201.mock.community.d6.2.microbiome.L	53962.0
12201.stool.human.A.1.powersoil.H	51492.0
12201.s.la.C.3.norgen.L	49823.0
12201.food.yogurt.2.3.microbiome.H	49377.0
12201.s.lf.A.2.norgen.L	49198.0
12201.mock.community.d1.3.microbiome.L	47838.0
12201.mock.community.d1.1.microbiome.L	47520.0
12201.food.yogurt.2.1.microbiome.H	47418.0
12201.mock.community.d1.microbiome.H	47086.0
12201.mc.d1.3.homebrew.L	46828.0
12201.mc.d1.1.magmax.L	44736.0
12201.skin.foot.A.3.microbiome.L	44159.0
12201.mock.community.d1.2.nucleomag.L	43915.0
12201.mc.d1.3.standard.L	43671.0
12201.mock.community.d3.3.microbiome.L	43572.0
12201.food.yogurt.1.3.microbiome.H	43078.0
12201.mock.community.d1.2.microbiome.L	42527.0
12201.mc.d1.2.standard.L	41930.0
12201.mc.d2.3.homebrew.L	41198.0
12201.mc.d2.1.magmax.L	40800.0
12201.food.yogurt.2.3.zymoMA.H	40487.0
12201.food.yogurt.1.2.microbiome.H	40473.0
12201.mock.community.d1.3.nucleomag.L	40308.0
12201.food.yogurt.2.3.powersoil.H	40241.0
12201.food.kimchi.1.1.microbiome.H	40236.0
12201.mock.community.d2.1.microbiome.L	40078.0
12201.mock.community.d1.1.nucleomag.L	39646.0
12201.food.yogurt.2.2.microbiome.H	39483.0
12201.mock.community.d2.3.nucleomag.L	38458.0
12201.skin.armpit.A.1.microbiome.L	38281.0
12201.food.yogurt.2.1.zymoMA.H	38209.0
12201.mock.community.d2.3.microbiome.L	38055.0
12201.mock.community.d2.3.powersoil.L	37559.0
12201.mock.community.d3.1.nucleomag.L	36850.0
12201.skin.armpit.C.2.nucleomag.L	36814.0
12201.urine.female.F.1.powersoil.L	36755.0
12201.mock.community.d1.homebrew.H	36746.0
12201.food.yogurt.1.3.zymoMA.H	36713.0
12201.skin.armpit.C.3.powersoil.L	36297.0
12201.mock.community.d2.2.microbiome.L	36246.0
12201.mock.community.d2.2.nucleomag.L	36058.0
12201.skin.foot.A.2.powersoil.L	36024.0
12201.mock.community.d1.2.zymoMA.L	35882.0
12201.food.yogurt.1.2.zymoMA.H	35618.0
12201.skin.foot.A.1.powersoil.L	34834.0
12201.urine.female.F.2.microbiome.L	34642.0
12201.food.kimchi.1.3.microbiome.H	34581.0
12201.skin.foot.A.2.microbiome.L	34441.0
12201.food.yogurt.2.1.nucleomag.H	33982.0
12201.skin.foot.B.3.powersoil.L	33831.0
12201.mc.d2.1.homebrew.L	33749.0
12201.skin.armpit.C.3.microbiome.L	33634.0
12201.urine.female.F.1.microbiome.L	33627.0
12201.food.yogurt.2.3.nucleomag.H	33527.0
12201.mc.d2.2.magmax.L	33304.0
12201.skin.foot.A.1.microbiome.L	33246.0
12201.mock.community.d4.1.powersoil.L	33239.0
12201.skin.foot.A.3.powersoil.L	33237.0
12201.mock.community.d2.2.powersoil.L	33015.0
12201.mock.community.d3.2.powersoil.L	32784.0
12201.mc.d2.1.standard.L	32716.0
12201.mock.community.d3.1.powersoil.L	32677.0
12201.mc.d1.2.magmax.L	32636.0
12201.mock.community.d3.2.microbiome.L	32534.0
12201.food.kimchi.1.1.powersoil.H	32360.0
12201.stool.human.J.1.2.powersoil.H	32141.0
12201.food.yogurt.1.2.powersoil.H	32026.0
12201.mock.community.d2.1.powersoil.L	31908.0
12201.stool.cat.L.2.zymoMA.H	31893.0
12201.mc.d2.3.magmax.L	31873.0
12201.skin.armpit.C.1.microbiome.L	31820.0
12201.food.yogurt.2.1.powersoil.H	31731.0
12201.skin.armpit.C.1.nucleomag.L	31626.0
12201.food.yogurt.2.2.nucleomag.H	31336.0
12201.mock.community.d3.1.microbiome.L	31170.0
12201.urine.female.F.2.powersoil.L	31000.0
12201.water.sea.A.1.nucleomag.L	30986.0
12201.skin.foot.B.1.nucleomag.L	30916.0
12201.BLANK.H1.zymoMA.H	30689.0
12201.mock.community.d2.microbiome.H	30651.0
12201.food.kimchi.1.3.nucleomag.H	30516.0
12201.mock.community.d3.2.nucleomag.L	30495.0
12201.skin.armpit.A.2.powersoil.L	30474.0
12201.oral.human.N.2.powersoil.H	30439.0
12201.s.la.C.1.magmax.L	30299.0
12201.food.yogurt.1.3.powersoil.H	30242.0
12201.skin.foot.B.2.powersoil.L	30224.0
12201.oral.human.N.2.microbiome.H	29821.0
12201.food.kimchi.2.1.microbiome.H	29678.0
12201.food.kimchi.1.1.zymoMA.H	29675.0
12201.mc.d1.1.homebrew.L	29670.0
12201.urine.female.F.3.nucleomag.L	29570.0
12201.mock.community.d4.1.microbiome.L	29521.0
12201.stool.mouse.L.2.microbiome.H	29360.0
12201.food.kimchi.1.2.microbiome.H	29301.0
12201.stool.mouse.L.1.zymoMA.H	29291.0
12201.s.la.C.3.magmax.L	29264.0
12201.food.kimchi.1.3.zymoMA.H	29229.0
12201.skin.foot.A.2.nucleomag.L	29100.0
12201.stool.mouse.M.1.zymoMA.H	28892.0
12201.mock.community.d6.2.powersoil.L	28798.0
12201.skin.foot.A.3.nucleomag.L	28772.0
12201.skin.foot.B.3.nucleomag.L	28664.0
12201.skin.foot.A.1.nucleomag.L	28631.0
12201.skin.armpit.A.1.powersoil.L	28572.0
12201.stool.human.J.3.1.nucleomag.H	28549.0
12201.mock.community.d4.2.microbiome.L	28507.0
12201.skin.armpit.C.2.microbiome.L	28494.0
12201.food.kimchi.2.2.microbiome.H	28382.0
12201.urine.female.F.3.powersoil.L	28108.0
12201.mc.d3.3.homebrew.L	27954.0
12201.skin.armpit.C.1.powersoil.L	27926.0
12201.stool.human.J.2.2.powersoil.H	27832.0
12201.uriF.F.2.magmax.L	27814.0
12201.mock.community.d4.3.powersoil.L	27812.0
12201.oral.human.A.2.microbiome.H	27799.0
12201.be.f.B.2.pro.L	27748.0
12201.stool.human.A.3.nucleomag.H	27636.0
12201.oral.human.B.3.microbiome.H	27567.0
12201.urine.female.F.2.nucleomag.L	27417.0
12201.oral.human.N.3.microbiome.H	27383.0
12201.stool.cat.M.3.microbiome.H	27349.0
12201.oral.human.K.2.microbiome.H	27198.0
12201.urine.female.F.1.nucleomag.L	27106.0
12201.stool.human.A.2.microbiome.H	27052.0
12201.stool.cat.L.1.zymoMA.H	27005.0
12201.mock.community.d3.microbiome.H	26956.0
12201.built.keyboard.A.2.3.microbiome.L	26913.0
12201.mc.d2.1.norgen.L	26898.0
12201.built.keyboard.A.1.3.microbiome.L	26779.0
12201.food.yogurt.2.2.powersoil.H	26676.0
12201.mock.community.d2.2.zymoMA.L	26605.0
12201.mock.community.d4.2.powersoil.L	26599.0
12201.urine.female.F.3.microbiome.L	26541.0
12201.uriF.F.1.magmax.L	26362.0
12201.stool.human.I.3.pro.H	26244.0
12201.mc.d3.1.homebrew.L	26133.0
12201.mc.d1.3.pro.L	26022.0
12201.food.yogurt.1.1.microbiome.H	25999.0
12201.mc.d1.1.standard.L	25947.0
12201.urine.female.D.2.microbiome.L	25935.0
12201.stool.cat.M.2.zymoMA.H	25925.0
12201.stool.cat.L.3.zymoMA.H	25924.0
12201.oral.human.A.1.microbiome.H	25861.0
12201.oral.human.K.3.microbiome.H	25770.0
12201.stool.human.B.1.norgen.H	25752.0
12201.stool.human.J.2.1.zymoMA.H	25708.0
12201.skin.foot.B.3.microbiome.L	25692.0
12201.food.kimchi.1.2.zymoMA.H	25670.0
12201.food.kimchi.2.1.zymoMA.H	25575.0
12201.stool.human.A.1.norgen.H	25527.0
12201.urine.female.D.1.powersoil.L	25474.0
12201.stool.human.J.3.1.zymoMA.H	25404.0
12201.stool.human.J.2.3.nucleomag.H	25389.0
12201.s.lf.A.2.magmax.L	25370.0
12201.s.lf.C.1.magmax.L	25367.0
12201.skin.foot.B.2.microbiome.L	25323.0
12201.stool.human.J.3.3.zymoMA.H	25282.0
12201.oral.human.B.3.zymoMA.H	25100.0
12201.uriF.D.2.pro.L	25052.0
12201.stool.mouse.M.2.zymoMA.H	25014.0
12201.oral.human.B.1.norgen.H	24966.0
12201.mc.d1.2.homebrew.L	24956.0
12201.oral.human.B.2.zymoMA.H	24911.0
12201.stool.mouse.L.3.zymoMA.H	24901.0
12201.mc.d2.2.pro.L	24890.0
12201.mock.community.d2.3.zymoMA.L	24871.0
12201.mc.d1.1.pro.L	24860.0
12201.oral.human.A.3.powersoil.H	24835.0
12201.stool.human.J.1.1.powersoil.H	24779.0
12201.mock.community.d3.powersoil.H	24734.0
12201.s.lf.C.2.magmax.L	24640.0
12201.oral.human.K.3.powersoil.H	24583.0
12201.stool.human.J.2.1.microbiome.H	24502.0
12201.stool.human.J.2.1.nucleomag.H	24499.0
12201.built.keyboard.A.2.3.powersoil.L	24390.0
12201.stool.human.B.2.powersoil.H	24384.0
12201.oral.human.E.1.norgen.H	24335.0
12201.stool.cat.M.1.microbiome.H	24311.0
12201.stool.cat.L.3.microbiome.H	24303.0
12201.mock.community.d1.magmax.H	24152.0
12201.s.lf.A.2.standard.L	24138.0
12201.stool.human.G.2.norgen.H	24132.0
12201.oral.human.A.2.zymoMA.H	24051.0
12201.stool.mouse.M.3.zymoMA.H	23995.0
12201.mock.community.d4.3.microbiome.L	23975.0
12201.mock.community.d3.3.powersoil.L	23939.0
12201.stool.human.J.2.2.nucleomag.H	23901.0
12201.oral.human.A.3.zymoMA.H	23813.0
