sample_name	its_deblur_reads
12201.mock.community.d1.microbiome.H	241368.0
12201.stool.mouse.J.2.norgen.H	235642.0
12201.mock.community.d1.powersoil.H	212443.0
12201.mock.community.d1.1.powersoil.L	206565.0
12201.mock.community.d1.3.powersoil.L	195323.0
12201.stool.mouse.L.1.powersoil.H	185539.0
12201.stool.mouse.M.3.nucleomag.H	177973.0
12201.stool.mouse.M.2.nucleomag.H	174664.0
12201.stool.mouse.M.3.zymoMA.H	173112.0
12201.stool.mouse.L.3.nucleomag.H	170813.0
12201.mock.community.d1.2.powersoil.L	169489.0
12201.mock.community.d1.zymoMA.H	165978.0
12201.mock.community.d2.2.powersoil.L	164582.0
12201.mock.community.d1.nucleomag.H	162030.0
12201.stool.mouse.L.1.nucleomag.H	161551.0
12201.stool.mouse.M.1.zymoMA.H	161448.0
12201.stool.mouse.L.2.zymoMA.H	157869.0
12201.stool.mouse.L.2.microbiome.H	157165.0
12201.mock.community.d2.1.powersoil.L	156765.0
12201.stool.mouse.M.2.zymoMA.H	155907.0
12201.mock.community.d1.2.nucleomag.L	155538.0
12201.mock.community.d1.1.nucleomag.L	154643.0
12201.mock.community.d1.1.microbiome.L	153887.0
12201.mock.community.d2.2.nucleomag.L	148681.0
12201.stool.mouse.M.1.nucleomag.H	147678.0
12201.mock.community.d1.3.zymoMA.L	143616.0
12201.mock.community.d2.3.powersoil.L	141188.0
12201.stool.mouse.L.1.zymoMA.H	137854.0
12201.be.k.A.2.1.pro.L	137244.0
12201.mock.community.d1.1.zymoMA.L	136580.0
12201.mock.community.d3.2.nucleomag.L	135642.0
12201.soil.rhizosphere.G.2.magmax.H	133840.0
12201.mock.community.d2.1.nucleomag.L	133613.0
12201.mock.community.d1.2.microbiome.L	132778.0
12201.stool.mouse.L.3.powersoil.H	131147.0
12201.mock.community.d2.3.nucleomag.L	127117.0
12201.mock.community.d1.3.microbiome.L	125118.0
12201.mock.community.d2.powersoil.H	119792.0
12201.stool.mouse.L.1.microbiome.H	119623.0
12201.mock.community.d2.zymoMA.H	116579.0
12201.stool.mouse.L.2.nucleomag.H	116263.0
12201.stool.mouse.L.3.microbiome.H	115793.0
12201.mock.community.d2.3.zymoMA.L	115489.0
