sample_name	shotgun_woltka_reads
12201.mock.community.d1.2.powersoil.L	67387827.0
12201.mock.community.d1.1.nucleomag.L	45915096.0
12201.mock.community.d1.1.zymoMA.L	43892797.0
12201.mock.community.d2.3.nucleomag.L	43613342.0
12201.mock.community.d2.1.zymoMA.L	41748172.0
12201.mock.community.d1.2.zymoMA.L	35966163.0
12201.mock.community.d1.2.nucleomag.L	35843710.0
12201.mock.community.d1.1.powersoil.L	27054235.0
12201.mock.community.d1.3.nucleomag.L	25939157.0
12201.mock.community.d1.3.microbiome.L	23226607.0
12201.mock.community.d2.2.nucleomag.L	23089801.0
12201.mock.community.d2.1.nucleomag.L	23074133.0
12201.mock.community.d1.1.microbiome.L	22072397.0
12201.mock.community.d2.2.microbiome.L	20703459.0
12201.mock.community.d2.2.zymoMA.L	19675322.0
12201.mock.community.d2.3.microbiome.L	18199230.0
12201.mock.community.d3.zymoMA.H	17718898.0
12201.mock.community.d3.3.microbiome.L	17635797.0
12201.mock.community.d2.1.microbiome.L	17418846.0
12201.mock.community.d2.3.powersoil.L	17333258.0
12201.tissue.mouse.Q.2.microbiome.H	16513917.0
12201.mock.community.d2.1.powersoil.L	15235740.0
12201.mock.community.d2.2.powersoil.L	14333051.0
12201.stool.human.J.3.1.microbiome.H	12656428.0
12201.skin.foot.A.1.microbiome.L	11067556.0
12201.mc.d1.2.homebrew.L	9845525.0
12201.mc.d1.1.homebrew.L	9765797.0
12201.mc.d1.3.magmax.L	8633154.0
12201.food.yogurt.2.1.zymoMA.H	8521684.0
12201.stool.cat.N.1.nucleomag.H	8397880.0
12201.stool.human.J.3.1.zymoMA.H	8370594.0
12201.food.yogurt.1.2.nucleomag.H	8255369.0
12201.stool.cat.N.1.microbiome.H	7580365.0
12201.s.la.C.2.magmax.L	7352562.0
12201.food.yogurt.2.2.nucleomag.H	7282639.0
12201.oral.human.K.2.nucleomag.H	7227575.0
12201.stool.human.J.3.2.nucleomag.H	6916509.0
12201.stool.human.J.3.3.zymoMA.H	6820942.0
12201.stool.human.J.3.3.nucleomag.H	6777165.0
12201.stool.human.J.3.1.nucleomag.H	6227402.0
12201.food.yogurt.2.3.nucleomag.H	6129037.0
12201.stool.cat.N.2.microbiome.H	6095412.0
12201.stool.cat.L.2.microbiome.H	6024789.0
12201.mock.community.d1.nucleomag.H	5806382.0
12201.food.yogurt.1.2.zymoMA.H	5727072.0
12201.stool.human.J.3.3.microbiome.H	5629492.0
12201.stool.cat.M.3.nucleomag.H	5467712.0
12201.stool.human.J.2.3.microbiome.H	5344975.0
12201.mock.community.d1.powersoil.H	5323385.0
12201.stool.human.J.1.1.microbiome.H	5321013.0
12201.mock.community.d1.zymoMA.H	5317870.0
12201.stool.cat.M.3.microbiome.H	5291141.0
12201.stool.cat.L.1.microbiome.H	5211865.0
12201.mock.community.d8.microbiome.H	5188345.0
12201.stool.human.J.3.2.zymoMA.H	5153993.0
12201.mock.community.d1.microbiome.H	5137322.0
12201.mock.community.d1.2.microbiome.L	5133127.0
12201.stool.human.J.3.2.microbiome.H	5091767.0
12201.stool.human.B.1.microbiome.H	5047798.0
12201.mock.community.d4.microbiome.H	5034106.0
12201.food.yogurt.1.3.microbiome.H	4885375.0
12201.food.yogurt.2.3.microbiome.H	4872047.0
12201.mock.community.d1.3.powersoil.L	4759768.0
12201.mock.community.d3.microbiome.H	4751782.0
12201.stool.cat.N.2.nucleomag.H	4683116.0
12201.stool.cat.N.3.powersoil.H	4665856.0
12201.stool.human.B.3.microbiome.H	4654501.0
12201.mock.community.d1.3.zymoMA.L	4635147.0
12201.stool.cat.N.3.nucleomag.H	4511848.0
12201.stool.human.B.1.nucleomag.H	4435332.0
12201.stool.human.B.2.microbiome.H	4319878.0
12201.stool.human.J.2.3.zymoMA.H	4298924.0
12201.mock.community.d2.3.zymoMA.L	4027405.0
12201.food.yogurt.2.3.zymoMA.H	3928991.0
12201.food.yogurt.2.1.microbiome.H	3855658.0
12201.stool.cat.N.3.zymoMA.H	3855355.0
12201.stool.cat.L.2.nucleomag.H	3789467.0
12201.stool.human.J.2.2.microbiome.H	3734006.0
12201.food.yogurt.2.2.zymoMA.H	3724785.0
12201.food.yogurt.1.3.zymoMA.H	3679223.0
12201.mock.community.d2.nucleomag.H	3539462.0
12201.stool.cat.L.2.zymoMA.H	3523006.0
12201.stool.cat.M.2.nucleomag.H	3446257.0
12201.stool.human.B.1.zymoMA.H	3350703.0
12201.stool.human.J.1.3.microbiome.H	3342394.0
12201.stool.human.B.2.powersoil.H	3327873.0
12201.food.yogurt.2.3.powersoil.H	3309327.0
12201.stool.human.B.3.zymoMA.H	3300929.0
12201.BLANK.H1.zymoMA.H	3297607.0
12201.mc.d1.2.standard.L	3288809.0
12201.food.yogurt.1.1.powersoil.H	3248725.0
12201.food.yogurt.2.2.microbiome.H	3248551.0
12201.mock.community.d2.zymoMA.H	3227422.0
12201.food.kimchi.2.2.zymoMA.H	3214811.0
12201.stool.human.B.3.nucleomag.H	3208485.0
12201.stool.human.J.2.1.microbiome.H	3163440.0
12201.stool.cat.N.2.powersoil.H	3110346.0
12201.stool.human.A.1.zymoMA.H	3024515.0
12201.stool.cat.M.2.microbiome.H	2973280.0
12201.food.kimchi.1.2.zymoMA.H	2973275.0
12201.stool.human.J.1.2.microbiome.H	2954261.0
12201.stool.human.A.3.zymoMA.H	2950670.0
12201.food.kimchi.1.2.powersoil.H	2899837.0
12201.mock.community.d2.microbiome.H	2873266.0
12201.food.kimchi.1.3.zymoMA.H	2869788.0
12201.stool.human.J.1.2.zymoMA.H	2857378.0
12201.stool.cat.M.2.powersoil.H	2847557.0
12201.stool.human.J.2.2.nucleomag.H	2845425.0
12201.stool.human.B.1.powersoil.H	2827210.0
12201.stool.human.J.1.1.nucleomag.H	2824967.0
