sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.uriF.E.1.standard.L	12201.uriF.E.3.standard.L	0.7584649995961891	human.urine.E	PowerSoil r1	human.urine.E	PowerSoil r1	urine	human female urine	low
12201.uriF.E.1.standard.L	12201.uriF.E.2.standard.L	0.2560484687868873	human.urine.E	PowerSoil r1	human.urine.E	PowerSoil r1	urine	human female urine	low
12201.s.lf.C.3.standard.L	12201.s.lf.C.2.standard.L	0.18173449133600394	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.s.lf.C.3.standard.L	12201.s.lf.C.1.standard.L	0.2046889260960905	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.s.lf.C.2.standard.L	12201.s.lf.C.1.standard.L	0.26287804858297975	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.uriF.E.3.standard.L	12201.uriF.E.2.standard.L	0.6928984618351683	human.urine.E	PowerSoil r1	human.urine.E	PowerSoil r1	urine	human female urine	low
12201.be.f.B.3.standard.L	12201.be.f.B.2.standard.L	0.36326962429351756	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.3.standard.L	12201.be.f.B.1.standard.L	0.44413184391547805	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.A.1.standard.L	12201.be.f.A.3.standard.L	0.17771308679014314	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.A.1.standard.L	12201.be.f.A.2.standard.L	1.291534176556554	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.s.la.C.1.standard.L	12201.s.la.C.3.standard.L	0.3543206677383349	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.s.la.C.1.standard.L	12201.s.la.C.2.standard.L	0.36156432504104175	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.uriF.F.1.standard.L	12201.uriF.F.3.standard.L	0.3569379275913293	human.urine.F	PowerSoil r1	human.urine.F	PowerSoil r1	urine	human female urine	low
12201.uriF.F.1.standard.L	12201.uriF.F.2.standard.L	0.2748889375501126	human.urine.F	PowerSoil r1	human.urine.F	PowerSoil r1	urine	human female urine	low
12201.wat.F.B.2.standard.L	12201.wat.F.B.3.standard.L	0.3264327370885787	freshwater site 2	PowerSoil r1	freshwater site 2	PowerSoil r1	water	freshwater	low
12201.wat.F.B.2.standard.L	12201.wat.F.B.1.standard.L	0.1922186425298173	freshwater site 2	PowerSoil r1	freshwater site 2	PowerSoil r1	water	freshwater	low
12201.wat.F.A.2.standard.L	12201.wat.F.A.3.standard.L	0.14306585553358636	freshwater site 1	PowerSoil r1	freshwater site 1	PowerSoil r1	water	freshwater	low
12201.wat.F.A.2.standard.L	12201.wat.F.A.1.standard.L	0.1323707598950868	freshwater site 1	PowerSoil r1	freshwater site 1	PowerSoil r1	water	freshwater	low
12201.s.la.C.3.standard.L	12201.s.la.C.2.standard.L	0.06561395617880897	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.uriF.F.3.standard.L	12201.uriF.F.2.standard.L	0.2389003935796401	human.urine.F	PowerSoil r1	human.urine.F	PowerSoil r1	urine	human female urine	low
12201.s.lf.A.3.standard.L	12201.s.lf.A.2.standard.L	1.0197969999275838	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.s.lf.A.3.standard.L	12201.s.lf.A.1.standard.L	1.2110919387241665	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.wat.F.A.3.standard.L	12201.wat.F.A.1.standard.L	0.19407808096488674	freshwater site 1	PowerSoil r1	freshwater site 1	PowerSoil r1	water	freshwater	low
12201.be.f.B.2.standard.L	12201.be.f.B.1.standard.L	0.10710241323475127	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
