sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.soil.rhizosphere.I.2.standard.H	12201.soil.rhizosphere.I.3.standard.H	0.5408472003918507	rhizosphere soil site 3	PowerSoil r1	rhizosphere soil site 3	PowerSoil r1	soil	rhizosphere soil	high
12201.soil.rhizosphere.I.2.standard.H	12201.soil.rhizosphere.I.1.standard.H	0.6250775198747412	rhizosphere soil site 3	PowerSoil r1	rhizosphere soil site 3	PowerSoil r1	soil	rhizosphere soil	high
12201.stool.mouse.K.2.standard.H	12201.stool.mouse.K.1.standard.H	0.2848425969526608	mouse.feces.K	PowerSoil r1	mouse.feces.K	PowerSoil r1	stool	mouse feces	high
12201.stool.mouse.K.2.standard.H	12201.stool.mouse.K.3.standard.H	0.19577203302828874	mouse.feces.K	PowerSoil r1	mouse.feces.K	PowerSoil r1	stool	mouse feces	high
12201.soil.bare.J.1.standard.H	12201.soil.bare.J.3.standard.H	0.23440510432993253	bare soil site 1	PowerSoil r1	bare soil site 1	PowerSoil r1	soil	bare soil	high
12201.soil.bare.J.1.standard.H	12201.soil.bare.J.2.standard.H	0.33779172917577355	bare soil site 1	PowerSoil r1	bare soil site 1	PowerSoil r1	soil	bare soil	high
12201.oral.human.E.3.standard.H	12201.oral.human.E.2.standard.H	0.3969585858551916	human.saliva.E	PowerSoil r1	human.saliva.E	PowerSoil r1	oral	human saliva	high
12201.oral.human.E.3.standard.H	12201.oral.human.E.1.standard.H	0.3670033834808244	human.saliva.E	PowerSoil r1	human.saliva.E	PowerSoil r1	oral	human saliva	high
12201.stool.mouse.J.1.standard.H	12201.stool.mouse.J.2.standard.H	0.13909651822443256	mouse.feces.J	PowerSoil r1	mouse.feces.J	PowerSoil r1	stool	mouse feces	high
12201.stool.mouse.J.1.standard.H	12201.stool.mouse.J.3.standard.H	0.08311125174897943	mouse.feces.J	PowerSoil r1	mouse.feces.J	PowerSoil r1	stool	mouse feces	high
12201.soil.bare.K.2.standard.H	12201.soil.bare.K.3.standard.H	0.3297588572927457	bare soil site 2	PowerSoil r1	bare soil site 2	PowerSoil r1	soil	bare soil	high
12201.soil.bare.K.2.standard.H	12201.soil.bare.K.1.standard.H	0.1622689786280958	bare soil site 2	PowerSoil r1	bare soil site 2	PowerSoil r1	soil	bare soil	high
12201.oral.human.E.2.standard.H	12201.oral.human.E.1.standard.H	0.4243474495136126	human.saliva.E	PowerSoil r1	human.saliva.E	PowerSoil r1	oral	human saliva	high
12201.soil.rhizosphere.I.3.standard.H	12201.soil.rhizosphere.I.1.standard.H	0.20793160183193846	rhizosphere soil site 3	PowerSoil r1	rhizosphere soil site 3	PowerSoil r1	soil	rhizosphere soil	high
12201.soil.bare.J.3.standard.H	12201.soil.bare.J.2.standard.H	0.4488071029169843	bare soil site 1	PowerSoil r1	bare soil site 1	PowerSoil r1	soil	bare soil	high
12201.stool.mouse.J.2.standard.H	12201.stool.mouse.J.3.standard.H	0.11744251058714825	mouse.feces.J	PowerSoil r1	mouse.feces.J	PowerSoil r1	stool	mouse feces	high
12201.soil.bare.K.3.standard.H	12201.soil.bare.K.1.standard.H	0.3993608902614089	bare soil site 2	PowerSoil r1	bare soil site 2	PowerSoil r1	soil	bare soil	high
12201.soil.bare.L.2.standard.H	12201.soil.bare.L.3.standard.H	0.37980352539909945	bare soil site 3	PowerSoil r1	bare soil site 3	PowerSoil r1	soil	bare soil	high
12201.soil.bare.L.2.standard.H	12201.soil.bare.L.1.standard.H	0.08625372189329246	bare soil site 3	PowerSoil r1	bare soil site 3	PowerSoil r1	soil	bare soil	high
12201.stool.mouse.K.1.standard.H	12201.stool.mouse.K.3.standard.H	0.2036448184776255	mouse.feces.K	PowerSoil r1	mouse.feces.K	PowerSoil r1	stool	mouse feces	high
