sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.be.f.A.3.standard.L	12201.be.f.A.1.standard.L	0.8080808080808081	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.A.3.standard.L	12201.be.f.A.2.standard.L	0.7660818713450293	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.uriF.E.1.standard.L	12201.uriF.E.3.standard.L	0.8	human.urine.E	PowerSoil r1	human.urine.E	PowerSoil r1	urine	human female urine	low
12201.be.k.A.2.3.standard.L	12201.be.k.A.2.2.standard.L	0.8854961832061069	keyboard_A2	PowerSoil r1	keyboard_A2	PowerSoil r1	built environment	keyboard	low
12201.be.f.A.1.standard.L	12201.be.f.A.2.standard.L	0.8141025641025641	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.3.standard.L	0.8112244897959183	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.2.standard.L	0.7874396135265701	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.wat.F.A.1.standard.L	12201.wat.F.A.2.standard.L	0.8653846153846154	freshwater site 1	PowerSoil r1	freshwater site 1	PowerSoil r1	water	freshwater	low
12201.s.lf.A.2.standard.L	12201.s.lf.A.1.standard.L	0.8985507246376812	human.foot.A	PowerSoil r1	human.foot.A	PowerSoil r1	skin	human foot	low
12201.wat.F.B.1.standard.L	12201.wat.F.B.3.standard.L	0.9210526315789473	freshwater site 2	PowerSoil r1	freshwater site 2	PowerSoil r1	water	freshwater	low
12201.wat.F.B.1.standard.L	12201.wat.F.B.2.standard.L	0.8809523809523809	freshwater site 2	PowerSoil r1	freshwater site 2	PowerSoil r1	water	freshwater	low
12201.s.lf.B.2.standard.L	12201.s.lf.B.3.standard.L	0.6829268292682927	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.s.lf.B.2.standard.L	12201.s.lf.B.1.standard.L	0.8571428571428571	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.wat.F.B.3.standard.L	12201.wat.F.B.2.standard.L	0.8444444444444444	freshwater site 2	PowerSoil r1	freshwater site 2	PowerSoil r1	water	freshwater	low
12201.s.lf.C.2.standard.L	12201.s.lf.C.3.standard.L	0.819672131147541	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.s.lf.C.2.standard.L	12201.s.lf.C.1.standard.L	0.7922077922077922	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.be.f.B.3.standard.L	12201.be.f.B.2.standard.L	0.8043478260869565	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.s.lf.C.3.standard.L	12201.s.lf.C.1.standard.L	0.8507462686567164	human.foot.C	PowerSoil r1	human.foot.C	PowerSoil r1	skin	human foot	low
12201.be.k.A.1.1.standard.L	12201.be.k.A.1.3.standard.L	0.8984375	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.be.k.A.1.1.standard.L	12201.be.k.A.1.2.standard.L	0.8527131782945736	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.be.k.A.1.3.standard.L	12201.be.k.A.1.2.standard.L	0.9006211180124224	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.s.lf.B.3.standard.L	12201.s.lf.B.1.standard.L	0.8205128205128205	human.foot.B	PowerSoil r1	human.foot.B	PowerSoil r1	skin	human foot	low
12201.s.lf.C.3.pro.L	12201.s.lf.C.1.pro.L	0.813953488372093	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.3.pro.L	12201.s.lf.C.2.pro.L	0.8333333333333334	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.1.pro.L	12201.s.lf.C.2.pro.L	0.8526315789473684	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.la.A.2.pro.L	12201.s.la.A.3.pro.L	0.8620689655172413	human.armpit.A	PowerSoil Pro	human.armpit.A	PowerSoil Pro	skin	human armpit	low
12201.wat.F.A.2.pro.L	12201.wat.F.A.1.pro.L	0.872093023255814	freshwater site 1	PowerSoil Pro	freshwater site 1	PowerSoil Pro	water	freshwater	low
12201.wat.F.A.2.pro.L	12201.wat.F.A.3.pro.L	0.8313253012048193	freshwater site 1	PowerSoil Pro	freshwater site 1	PowerSoil Pro	water	freshwater	low
12201.be.f.B.2.pro.L	12201.be.f.B.1.pro.L	0.7897727272727273	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.B.2.pro.L	12201.be.f.B.3.pro.L	0.7931034482758621	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.A.3.pro.L	12201.be.f.A.1.pro.L	0.8359788359788359	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
12201.be.f.A.3.pro.L	12201.be.f.A.2.pro.L	0.8012422360248447	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
12201.s.lf.A.2.pro.L	12201.s.lf.A.1.pro.L	0.8695652173913043	human.foot.A	PowerSoil Pro	human.foot.A	PowerSoil Pro	skin	human foot	low
12201.be.k.A.2.2.pro.L	12201.be.k.A.2.1.pro.L	0.9117647058823529	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.2.pro.L	12201.be.k.A.2.3.pro.L	0.8896103896103896	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
