sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.be.f.A.3.standard.L	12201.be.f.A.1.standard.L	1.4304428734820256	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.A.3.standard.L	12201.be.f.A.2.standard.L	1.117080788641459	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.k.A.2.3.standard.L	12201.be.k.A.2.2.standard.L	1.4195576316010812	keyboard_A2	PowerSoil r1	keyboard_A2	PowerSoil r1	built environment	keyboard	low
12201.be.f.A.1.standard.L	12201.be.f.A.2.standard.L	1.4382337306666453	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.3.standard.L	0.562886635807254	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.2.standard.L	0.9118689551293313	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.3.standard.L	12201.be.f.B.2.standard.L	1.2136691877880756	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.k.A.1.1.standard.L	12201.be.k.A.1.3.standard.L	1.6189544100103577	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.be.k.A.1.1.standard.L	12201.be.k.A.1.2.standard.L	0.5909546708811781	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.be.k.A.1.3.standard.L	12201.be.k.A.1.2.standard.L	1.3434162565072294	keyboard_A1	PowerSoil r1	keyboard_A1	PowerSoil r1	built environment	keyboard	low
12201.s.lf.C.3.pro.L	12201.s.lf.C.1.pro.L	0.8963272812090882	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.3.pro.L	12201.s.lf.C.2.pro.L	0.5323404420691493	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.s.lf.C.1.pro.L	12201.s.lf.C.2.pro.L	0.7105363777705775	human.foot.C	PowerSoil Pro	human.foot.C	PowerSoil Pro	skin	human foot	low
12201.wat.F.A.2.pro.L	12201.wat.F.A.1.pro.L	0.8418767397167938	freshwater site 1	PowerSoil Pro	freshwater site 1	PowerSoil Pro	water	freshwater	low
12201.be.f.B.2.pro.L	12201.be.f.B.1.pro.L	0.598035457901261	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.B.2.pro.L	12201.be.f.B.3.pro.L	0.6000557730391318	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.A.3.pro.L	12201.be.f.A.1.pro.L	1.281880595017996	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
12201.be.f.A.3.pro.L	12201.be.f.A.2.pro.L	1.254836512602273	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
12201.be.k.A.2.2.pro.L	12201.be.k.A.2.1.pro.L	2.0146050950162397	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.2.pro.L	12201.be.k.A.2.3.pro.L	2.1870891442278886	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.1.pro.L	12201.be.k.A.2.3.pro.L	0.8607284125461554	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.f.A.1.pro.L	12201.be.f.A.2.pro.L	0.45149515561438686	floor_site_1	PowerSoil Pro	floor_site_1	PowerSoil Pro	built environment	floor	low
