sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.food.kimchi.1.1.norgen.H	12201.food.kimchi.1.2.norgen.H	0.12964722915569046	kimchi_container_1	Norgen	kimchi_container_1	Norgen	food	kimchi	high
12201.food.kimchi.1.1.norgen.H	12201.food.kimchi.1.3.norgen.H	0.4116822607701433	kimchi_container_1	Norgen	kimchi_container_1	Norgen	food	kimchi	high
12201.food.kimchi.1.1.standard.H	12201.food.kimchi.1.2.standard.H	0.06663242363549418	kimchi_container_1	PowerSoil r1	kimchi_container_1	PowerSoil r1	food	kimchi	high
12201.food.kimchi.1.1.standard.H	12201.food.kimchi.1.3.standard.H	0.10947780079238084	kimchi_container_1	PowerSoil r1	kimchi_container_1	PowerSoil r1	food	kimchi	high
12201.food.kimchi.1.1.pro.H	12201.food.kimchi.1.2.pro.H	0.14149061719224904	kimchi_container_1	PowerSoil Pro	kimchi_container_1	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.1.1.pro.H	12201.food.kimchi.1.3.pro.H	0.010508796476510325	kimchi_container_1	PowerSoil Pro	kimchi_container_1	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.1.2.norgen.H	12201.food.kimchi.1.3.norgen.H	0.4583105032139629	kimchi_container_1	Norgen	kimchi_container_1	Norgen	food	kimchi	high
12201.food.kimchi.1.2.standard.H	12201.food.kimchi.1.3.standard.H	0.06349424510099051	kimchi_container_1	PowerSoil r1	kimchi_container_1	PowerSoil r1	food	kimchi	high
12201.food.kimchi.1.2.pro.H	12201.food.kimchi.1.3.pro.H	0.14070461208243956	kimchi_container_1	PowerSoil Pro	kimchi_container_1	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.2.1.standard.H	12201.food.kimchi.2.3.standard.H	0.19750787117881527	kimchi_container_2	PowerSoil r1	kimchi_container_2	PowerSoil r1	food	kimchi	high
12201.food.kimchi.2.1.standard.H	12201.food.kimchi.2.2.standard.H	0.12664743981724003	kimchi_container_2	PowerSoil r1	kimchi_container_2	PowerSoil r1	food	kimchi	high
12201.food.kimchi.2.2.pro.H	12201.food.kimchi.2.1.pro.H	0.0992265517393239	kimchi_container_2	PowerSoil Pro	kimchi_container_2	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.2.2.pro.H	12201.food.kimchi.2.3.pro.H	0.0328554203866759	kimchi_container_2	PowerSoil Pro	kimchi_container_2	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.2.1.pro.H	12201.food.kimchi.2.3.pro.H	0.13092117940324635	kimchi_container_2	PowerSoil Pro	kimchi_container_2	PowerSoil Pro	food	kimchi	high
12201.food.kimchi.2.3.standard.H	12201.food.kimchi.2.2.standard.H	0.1754425137933648	kimchi_container_2	PowerSoil r1	kimchi_container_2	PowerSoil r1	food	kimchi	high
12201.food.yogurt.1.1.pro.H	12201.food.yogurt.1.2.pro.H	0.36321715743872923	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.1.1.pro.H	12201.food.yogurt.1.3.pro.H	0.27054243551108487	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.1.1.standard.H	12201.food.yogurt.1.2.standard.H	0.14892612454651347	yogurt_container_1	PowerSoil r1	yogurt_container_1	PowerSoil r1	food	yogurt	high
12201.food.yogurt.1.1.standard.H	12201.food.yogurt.1.3.standard.H	0.2054564046724031	yogurt_container_1	PowerSoil r1	yogurt_container_1	PowerSoil r1	food	yogurt	high
12201.food.yogurt.1.2.standard.H	12201.food.yogurt.1.3.standard.H	0.15952827468002742	yogurt_container_1	PowerSoil r1	yogurt_container_1	PowerSoil r1	food	yogurt	high
12201.food.yogurt.1.2.pro.H	12201.food.yogurt.1.3.pro.H	0.5110831151509081	yogurt_container_1	PowerSoil Pro	yogurt_container_1	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.1.pro.H	12201.food.yogurt.2.2.pro.H	0.5644567416862735	yogurt_container_2	PowerSoil Pro	yogurt_container_2	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.1.pro.H	12201.food.yogurt.2.3.pro.H	0.25298582591871716	yogurt_container_2	PowerSoil Pro	yogurt_container_2	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.2.norgen.H	12201.food.yogurt.2.3.norgen.H	0.266937847498204	yogurt_container_2	Norgen	yogurt_container_2	Norgen	food	yogurt	high
12201.food.yogurt.2.2.pro.H	12201.food.yogurt.2.3.pro.H	0.6166780782211071	yogurt_container_2	PowerSoil Pro	yogurt_container_2	PowerSoil Pro	food	yogurt	high
12201.food.yogurt.2.1.standard.H	12201.food.yogurt.2.2.standard.H	0.22309295478454297	yogurt_container_2	PowerSoil r1	yogurt_container_2	PowerSoil r1	food	yogurt	high
12201.food.yogurt.2.1.standard.H	12201.food.yogurt.2.3.standard.H	0.19325748121691616	yogurt_container_2	PowerSoil r1	yogurt_container_2	PowerSoil r1	food	yogurt	high
12201.food.yogurt.2.2.standard.H	12201.food.yogurt.2.3.standard.H	0.36128374436505867	yogurt_container_2	PowerSoil r1	yogurt_container_2	PowerSoil r1	food	yogurt	high
12201.oral.human.A.1.pro.H	12201.oral.human.A.2.pro.H	1.0531115864292662	human.saliva.A	PowerSoil Pro	human.saliva.A	PowerSoil Pro	oral	human saliva	high
12201.oral.human.A.1.pro.H	12201.oral.human.A.3.pro.H	1.044320184348495	human.saliva.A	PowerSoil Pro	human.saliva.A	PowerSoil Pro	oral	human saliva	high
12201.oral.human.A.1.standard.H	12201.oral.human.A.2.standard.H	0.12865367839786906	human.saliva.A	PowerSoil r1	human.saliva.A	PowerSoil r1	oral	human saliva	high
12201.oral.human.A.1.standard.H	12201.oral.human.A.3.standard.H	0.2790765312893504	human.saliva.A	PowerSoil r1	human.saliva.A	PowerSoil r1	oral	human saliva	high
12201.oral.human.A.2.pro.H	12201.oral.human.A.3.pro.H	0.3917957172797755	human.saliva.A	PowerSoil Pro	human.saliva.A	PowerSoil Pro	oral	human saliva	high
12201.oral.human.A.2.standard.H	12201.oral.human.A.3.standard.H	0.4047344339603211	human.saliva.A	PowerSoil r1	human.saliva.A	PowerSoil r1	oral	human saliva	high
12201.oral.human.B.1.standard.H	12201.oral.human.B.2.standard.H	0.12584330155708404	human.saliva.B	PowerSoil r1	human.saliva.B	PowerSoil r1	oral	human saliva	high
12201.oral.human.B.1.standard.H	12201.oral.human.B.3.standard.H	0.16184915014414306	human.saliva.B	PowerSoil r1	human.saliva.B	PowerSoil r1	oral	human saliva	high
12201.oral.human.B.1.pro.H	12201.oral.human.B.2.pro.H	0.14939304654906693	human.saliva.B	PowerSoil Pro	human.saliva.B	PowerSoil Pro	oral	human saliva	high
12201.oral.human.B.1.pro.H	12201.oral.human.B.3.pro.H	0.13442855417179903	human.saliva.B	PowerSoil Pro	human.saliva.B	PowerSoil Pro	oral	human saliva	high
12201.oral.human.B.2.pro.H	12201.oral.human.B.3.pro.H	0.11486925175980439	human.saliva.B	PowerSoil Pro	human.saliva.B	PowerSoil Pro	oral	human saliva	high
12201.oral.human.B.2.standard.H	12201.oral.human.B.3.standard.H	0.24524912685425723	human.saliva.B	PowerSoil r1	human.saliva.B	PowerSoil r1	oral	human saliva	high
12201.oral.human.C.1.norgen.H	12201.oral.human.C.2.norgen.H	0.37289141592647185	human.saliva.C	Norgen	human.saliva.C	Norgen	oral	human saliva	high
