sample1	sample2	value	sample1_type	sample1_extraction_kit_round	sample2_type	sample2_extraction_kit_round	sample_type	sample_type_2	biomass_plate
12201.be.f.A.2.norgen.L	12201.be.f.A.3.norgen.L	0.6238532110091743	floor_site_1	Norgen	floor_site_1	Norgen	built environment	floor	low
12201.be.f.A.2.standard.L	12201.be.f.A.3.standard.L	0.76	floor_site_1	PowerSoil r1	floor_site_1	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.norgen.L	12201.be.f.B.2.norgen.L	0.7166666666666667	floor_site_2	Norgen	floor_site_2	Norgen	built environment	floor	low
12201.be.f.B.1.norgen.L	12201.be.f.B.3.norgen.L	0.6666666666666666	floor_site_2	Norgen	floor_site_2	Norgen	built environment	floor	low
12201.be.f.B.1.pro.L	12201.be.f.B.2.pro.L	0.7222222222222222	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.B.1.pro.L	12201.be.f.B.3.pro.L	0.7117117117117117	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.2.standard.L	0.7058823529411765	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.1.standard.L	12201.be.f.B.3.standard.L	0.672	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.f.B.2.pro.L	12201.be.f.B.3.pro.L	0.7051282051282052	floor_site_2	PowerSoil Pro	floor_site_2	PowerSoil Pro	built environment	floor	low
12201.be.f.B.2.standard.L	12201.be.f.B.3.standard.L	0.6996197718631179	floor_site_2	PowerSoil r1	floor_site_2	PowerSoil r1	built environment	floor	low
12201.be.k.A.1.1.pro.L	12201.be.k.A.1.2.pro.L	0.7669172932330827	keyboard_A1	PowerSoil Pro	keyboard_A1	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.1.norgen.L	12201.be.k.A.2.2.norgen.L	0.6504854368932039	keyboard_A2	Norgen	keyboard_A2	Norgen	built environment	keyboard	low
12201.be.k.A.2.1.norgen.L	12201.be.k.A.2.3.norgen.L	0.6534653465346535	keyboard_A2	Norgen	keyboard_A2	Norgen	built environment	keyboard	low
12201.be.k.A.2.1.pro.L	12201.be.k.A.2.2.pro.L	0.7761194029850746	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.1.pro.L	12201.be.k.A.2.3.pro.L	0.7235772357723578	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.2.pro.L	12201.be.k.A.2.3.pro.L	0.7217391304347827	keyboard_A2	PowerSoil Pro	keyboard_A2	PowerSoil Pro	built environment	keyboard	low
12201.be.k.A.2.2.norgen.L	12201.be.k.A.2.3.norgen.L	0.6372549019607843	keyboard_A2	Norgen	keyboard_A2	Norgen	built environment	keyboard	low
12201.hbm.W.1.norgen.L	12201.hbm.W.2.norgen.L	0.6417910447761194	human.milk.W	Norgen	human.milk.W	Norgen	milk	human milk	low
12201.hbm.W.1.norgen.L	12201.hbm.W.3.norgen.L	0.5737704918032787	human.milk.W	Norgen	human.milk.W	Norgen	milk	human milk	low
12201.hbm.W.2.norgen.L	12201.hbm.W.3.norgen.L	0.5660377358490566	human.milk.W	Norgen	human.milk.W	Norgen	milk	human milk	low
12201.hbm.W.3.standard.L	12201.hbm.W.2.standard.L	0.5588235294117647	human.milk.W	PowerSoil r1	human.milk.W	PowerSoil r1	milk	human milk	low
12201.s.la.A.1.norgen.L	12201.s.la.A.3.norgen.L	0.6309523809523809	human.armpit.A	Norgen	human.armpit.A	Norgen	skin	human armpit	low
12201.s.la.A.1.norgen.L	12201.s.la.A.2.norgen.L	0.6172839506172839	human.armpit.A	Norgen	human.armpit.A	Norgen	skin	human armpit	low
12201.s.la.A.1.standard.L	12201.s.la.A.2.standard.L	0.6451612903225806	human.armpit.A	PowerSoil r1	human.armpit.A	PowerSoil r1	skin	human armpit	low
12201.s.la.A.1.standard.L	12201.s.la.A.3.standard.L	0.640625	human.armpit.A	PowerSoil r1	human.armpit.A	PowerSoil r1	skin	human armpit	low
12201.s.la.A.1.pro.L	12201.s.la.A.2.pro.L	0.547945205479452	human.armpit.A	PowerSoil Pro	human.armpit.A	PowerSoil Pro	skin	human armpit	low
12201.s.la.A.1.pro.L	12201.s.la.A.3.pro.L	0.3728813559322034	human.armpit.A	PowerSoil Pro	human.armpit.A	PowerSoil Pro	skin	human armpit	low
12201.s.la.A.3.norgen.L	12201.s.la.A.2.norgen.L	0.6395348837209303	human.armpit.A	Norgen	human.armpit.A	Norgen	skin	human armpit	low
12201.s.la.A.2.standard.L	12201.s.la.A.3.standard.L	0.573170731707317	human.armpit.A	PowerSoil r1	human.armpit.A	PowerSoil r1	skin	human armpit	low
12201.s.la.B.2.norgen.L	12201.s.la.B.3.norgen.L	0.6	human.armpit.B	Norgen	human.armpit.B	Norgen	skin	human armpit	low
12201.s.la.C.1.pro.L	12201.s.la.C.2.pro.L	0.5816326530612245	human.armpit.C	PowerSoil Pro	human.armpit.C	PowerSoil Pro	skin	human armpit	low
12201.s.la.C.1.pro.L	12201.s.la.C.3.pro.L	0.5681818181818182	human.armpit.C	PowerSoil Pro	human.armpit.C	PowerSoil Pro	skin	human armpit	low
12201.s.la.C.1.standard.L	12201.s.la.C.2.standard.L	0.5256410256410257	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.s.la.C.1.standard.L	12201.s.la.C.3.standard.L	0.5783132530120482	human.armpit.C	PowerSoil r1	human.armpit.C	PowerSoil r1	skin	human armpit	low
12201.s.la.C.2.norgen.L	12201.s.la.C.1.norgen.L	0.6101694915254238	human.armpit.C	Norgen	human.armpit.C	Norgen	skin	human armpit	low
12201.s.la.C.2.norgen.L	12201.s.la.C.3.norgen.L	0.6271186440677966	human.armpit.C	Norgen	human.armpit.C	Norgen	skin	human armpit	low
